23:29:49.955 -> 29, 0.58, 0.97, -0.89, -18.24, 1.94, -11.51, 0.75, -0.23, -1.47, 4.29, -2.71, -10.28, 1.20, 1.36, 0.85, -2.73, 0.05, -0.91, 2
23:29:49.955 -> 30, 1.93, 1.12, -0.74, -27.03, -1.48, -2.72, 0.45, -0.83, 0.18, -14.27, -10.03, -13.21, 0.60, 1.96, 0.25, 5.57, 5.91, 8.37, 2
23:29:49.955 -> 31, 0.58, 1.72, -0.59, -15.31, 2.92, -7.60, 0.75, -0.68, 0.03, -10.36, -2.71, -16.63, 1.35, 0.46, 0.25, -14.45, 7.87, 6.90, 2
23:29:49.955 -> 32, -0.32, -0.23, 0.31, -30.44, -9.78, -12.49, 0.15, -0.08, -1.32, 3.80, -8.08, -12.24, 0.45, 0.31, 0.40, -2.24, -9.71, -2.37, 2
23:29:50.002 -> 33, 1.18, 1.42, -0.74, -37.77, -7.83, -22.25, 1.50, -0.68, -0.27, 4.29, -7.10, -8.33, -0.00, 0.31, -0.35, 6.55, 2.01, 2.02, 2
23:29:50.002 -> 34, 0.28, 1.12, -1.49, -17.75, 3.40, -11.02, 0.15, -0.08, -0.57, 3.80, -7.59, -8.82, -0.00, 0.76, 0.40, -0.29, -17.52, 8.37, 2
23:29:50.002 -> 35, 0.88, 0.97, -0.14, -17.75, -12.22, -13.95, 0.30, -0.98, -1.02, 0.38, -9.54, -2.47, 0.15, 0.46, 0.70, -12.49, 4.94, 10.81, 2
23:29:50.002 -> 36, 1.33, 0.07, -1.34, -19.21, -3.92, -18.34, 0.45, 0.37, 0.18, 4.29, 6.57, -8.33, 0.45, 0.31, -0.65, -10.05, 5.42, 5.44, 2
23:29:50.002 -> 37, 0.73, 0.67, -0.29, -28.49, 14.15, -12.49, -1.20, 0.67, -0.57, -17.20, -12.47, -8.33, -0.30, 1.06, 0.85, -3.71, 4.45, 3.49, 2
23:29:50.051 -> 38, 1.78, -0.23, -0.89, -16.28, -8.80, -18.83, 0.15, -0.08, -0.87, 6.73, -2.71, -2.96, -0.00, 0.01, 0.40, -8.10, -3.36, 0.07, 2
23:29:50.051 -> 39, 0.58, 0.97, -1.34, -21.66, 0.96, -12.00, 0.15, -0.83, -1.62, -0.11, -10.52, -2.47, 0.75, -0.44, 0.85, -6.64, 3.96, 1.53, 2
23:29:50.051 -> 40, 0.58, 0.97, -0.59, -28.49, 2.92, -26.16, 0.30, -1.43, -1.92, -9.39, -10.52, -20.05, 0.45, 0.01, 0.10, 0.20, -6.78, 9.83, 2
23:29:50.051 -> 41, -0.17, 1.42, -0.74, -27.03, -2.94, -15.42, 0.30, -0.68, -1.02, 2.82, -14.91, -15.17, -0.60, 0.46, 2.05, -8.59, 13.24, 12.76, 2
23:29:50.096 -> 42, -0.32, 0.07, -0.59, -27.51, 2.92, -6.14, 0.30, 0.07, -0.72, -0.11, -14.42, -6.38, -0.00, -0.44, 1.15, -6.15, 1.03, 5.93, 2
23:29:50.096 -> 43, 0.88, 0.52, -0.89, -15.80, -1.97, -23.23, 0.30, 0.07, -0.72, -4.01, 3.64, -5.89, 0.60, 1.66, 0.70, -5.66, 3.96, 12.76, 2
23:29:50.096 -> 44, 0.58, 1.27, -1.34, -15.31, 6.33, -11.51, 0.15, -0.38, -0.57, -4.50, 0.71, -18.10, -0.15, 0.46, -1.25, 7.52, -9.71, 6.42, 2
23:29:50.096 -> 45, -0.32, 0.52, -0.14, -7.50, 7.80, -16.88, 0.30, 0.07, -1.92, -8.90, -2.22, -15.65, 0.15, 1.66, 0.25, 1.67, 14.70, 2.02, 2
23:29:50.143 -> 46, -0.17, 1.12, -1.04, -9.94, -12.22, -4.18, -0.90, -0.98, -1.02, -2.55, -5.15, 1.92, 0.75, 0.31, 1.60, 9.97, -0.43, 7.39, 2
23:29:50.143 -> 47, 0.73, 1.42, -0.74, -15.31, 0.96, -14.93, 0.30, -0.23, -1.47, -5.97, -18.33, -11.75, -0.15, -0.14, 1.30, -3.22, 14.70, -1.88, 2
